,gt_path,obj_id,n_pos,task
0,BTCV/labelsTr/img0033.nii.gz,1,21,BTCV
1,BTCV/labelsTr/img0033.nii.gz,2,24,BTCV
2,BTCV/labelsTr/img0033.nii.gz,3,20,BTCV
3,BTCV/labelsTr/img0033.nii.gz,4,9,BTCV
4,BTCV/labelsTr/img0033.nii.gz,5,21,BTCV
5,BTCV/labelsTr/img0033.nii.gz,6,38,BTCV
6,BTCV/labelsTr/img0033.nii.gz,7,25,BTCV
7,BTCV/labelsTr/img0033.nii.gz,8,55,BTCV
8,BTCV/labelsTr/img0033.nii.gz,9,53,BTCV
9,BTCV/labelsTr/img0033.nii.gz,10,13,BTCV
10,BTCV/labelsTr/img0033.nii.gz,11,20,BTCV
11,BTCV/labelsTr/img0033.nii.gz,12,5,BTCV
12,BTCV/labelsTr/img0033.nii.gz,13,9,BTCV
13,BTCV/labelsTr/img0027.nii.gz,1,19,BTCV
14,BTCV/labelsTr/img0027.nii.gz,2,25,BTCV
15,BTCV/labelsTr/img0027.nii.gz,3,22,BTCV
16,BTCV/labelsTr/img0027.nii.gz,4,15,BTCV
17,BTCV/labelsTr/img0027.nii.gz,5,14,BTCV
18,BTCV/labelsTr/img0027.nii.gz,6,40,BTCV
19,BTCV/labelsTr/img0027.nii.gz,7,17,BTCV
20,BTCV/labelsTr/img0027.nii.gz,8,49,BTCV
21,BTCV/labelsTr/img0027.nii.gz,9,48,BTCV
22,BTCV/labelsTr/img0027.nii.gz,10,13,BTCV
23,BTCV/labelsTr/img0027.nii.gz,11,15,BTCV
24,BTCV/labelsTr/img0027.nii.gz,12,8,BTCV
25,BTCV/labelsTr/img0027.nii.gz,13,8,BTCV
26,BTCV/labelsTr/img0006.nii.gz,1,20,BTCV
27,BTCV/labelsTr/img0006.nii.gz,2,32,BTCV
28,BTCV/labelsTr/img0006.nii.gz,3,31,BTCV
29,BTCV/labelsTr/img0006.nii.gz,4,14,BTCV
30,BTCV/labelsTr/img0006.nii.gz,5,19,BTCV
31,BTCV/labelsTr/img0006.nii.gz,6,53,BTCV
32,BTCV/labelsTr/img0006.nii.gz,7,41,BTCV
33,BTCV/labelsTr/img0006.nii.gz,8,59,BTCV
34,BTCV/labelsTr/img0006.nii.gz,9,59,BTCV
35,BTCV/labelsTr/img0006.nii.gz,10,22,BTCV
36,BTCV/labelsTr/img0006.nii.gz,11,34,BTCV
37,BTCV/labelsTr/img0006.nii.gz,12,9,BTCV
38,BTCV/labelsTr/img0006.nii.gz,13,13,BTCV
39,BTCV/labelsTr/img0030.nii.gz,1,36,BTCV
40,BTCV/labelsTr/img0030.nii.gz,2,37,BTCV
41,BTCV/labelsTr/img0030.nii.gz,3,35,BTCV
42,BTCV/labelsTr/img0030.nii.gz,4,23,BTCV
43,BTCV/labelsTr/img0030.nii.gz,5,21,BTCV
44,BTCV/labelsTr/img0030.nii.gz,6,61,BTCV
45,BTCV/labelsTr/img0030.nii.gz,7,34,BTCV
46,BTCV/labelsTr/img0030.nii.gz,8,74,BTCV
47,BTCV/labelsTr/img0030.nii.gz,9,75,BTCV
48,BTCV/labelsTr/img0030.nii.gz,10,22,BTCV
49,BTCV/labelsTr/img0030.nii.gz,11,36,BTCV
50,BTCV/labelsTr/img0030.nii.gz,12,14,BTCV
51,BTCV/labelsTr/img0030.nii.gz,13,15,BTCV
52,BTCV/labelsTr/img0001.nii.gz,1,35,BTCV
53,BTCV/labelsTr/img0001.nii.gz,2,41,BTCV
54,BTCV/labelsTr/img0001.nii.gz,3,37,BTCV
55,BTCV/labelsTr/img0001.nii.gz,4,18,BTCV
56,BTCV/labelsTr/img0001.nii.gz,5,20,BTCV
57,BTCV/labelsTr/img0001.nii.gz,6,75,BTCV
58,BTCV/labelsTr/img0001.nii.gz,7,53,BTCV
59,BTCV/labelsTr/img0001.nii.gz,8,76,BTCV
60,BTCV/labelsTr/img0001.nii.gz,9,76,BTCV
61,BTCV/labelsTr/img0001.nii.gz,10,21,BTCV
62,BTCV/labelsTr/img0001.nii.gz,11,35,BTCV
63,BTCV/labelsTr/img0001.nii.gz,12,12,BTCV
64,BTCV/labelsTr/img0001.nii.gz,13,22,BTCV
65,BTCV/labelsTr/img0008.nii.gz,1,27,BTCV
66,BTCV/labelsTr/img0008.nii.gz,2,20,BTCV
67,BTCV/labelsTr/img0008.nii.gz,3,21,BTCV
68,BTCV/labelsTr/img0008.nii.gz,4,13,BTCV
69,BTCV/labelsTr/img0008.nii.gz,5,19,BTCV
70,BTCV/labelsTr/img0008.nii.gz,6,54,BTCV
71,BTCV/labelsTr/img0008.nii.gz,7,26,BTCV
72,BTCV/labelsTr/img0008.nii.gz,8,72,BTCV
73,BTCV/labelsTr/img0008.nii.gz,9,65,BTCV
74,BTCV/labelsTr/img0008.nii.gz,10,19,BTCV
75,BTCV/labelsTr/img0008.nii.gz,11,32,BTCV
76,BTCV/labelsTr/img0008.nii.gz,12,12,BTCV
77,BTCV/labelsTr/img0008.nii.gz,13,14,BTCV
78,BTCV/labelsTr/img0031.nii.gz,1,36,BTCV
79,BTCV/labelsTr/img0031.nii.gz,2,36,BTCV
80,BTCV/labelsTr/img0031.nii.gz,3,38,BTCV
81,BTCV/labelsTr/img0031.nii.gz,4,12,BTCV
82,BTCV/labelsTr/img0031.nii.gz,5,26,BTCV
83,BTCV/labelsTr/img0031.nii.gz,6,62,BTCV
84,BTCV/labelsTr/img0031.nii.gz,7,27,BTCV
85,BTCV/labelsTr/img0031.nii.gz,8,87,BTCV
86,BTCV/labelsTr/img0031.nii.gz,9,77,BTCV
87,BTCV/labelsTr/img0031.nii.gz,10,24,BTCV
88,BTCV/labelsTr/img0031.nii.gz,11,32,BTCV
89,BTCV/labelsTr/img0031.nii.gz,12,10,BTCV
90,BTCV/labelsTr/img0031.nii.gz,13,15,BTCV
91,BTCV/labelsTr/img0022.nii.gz,1,25,BTCV
92,BTCV/labelsTr/img0022.nii.gz,2,22,BTCV
93,BTCV/labelsTr/img0022.nii.gz,3,21,BTCV
94,BTCV/labelsTr/img0022.nii.gz,4,8,BTCV
95,BTCV/labelsTr/img0022.nii.gz,5,10,BTCV
96,BTCV/labelsTr/img0022.nii.gz,6,36,BTCV
97,BTCV/labelsTr/img0022.nii.gz,7,20,BTCV
98,BTCV/labelsTr/img0022.nii.gz,8,44,BTCV
99,BTCV/labelsTr/img0022.nii.gz,9,48,BTCV
100,BTCV/labelsTr/img0022.nii.gz,10,10,BTCV
101,BTCV/labelsTr/img0022.nii.gz,11,16,BTCV
102,BTCV/labelsTr/img0022.nii.gz,12,10,BTCV
103,BTCV/labelsTr/img0022.nii.gz,13,10,BTCV
104,BTCV/labelsTr/img0026.nii.gz,1,17,BTCV
105,BTCV/labelsTr/img0026.nii.gz,2,21,BTCV
106,BTCV/labelsTr/img0026.nii.gz,3,25,BTCV
107,BTCV/labelsTr/img0026.nii.gz,4,8,BTCV
108,BTCV/labelsTr/img0026.nii.gz,5,46,BTCV
109,BTCV/labelsTr/img0026.nii.gz,6,25,BTCV
110,BTCV/labelsTr/img0026.nii.gz,7,25,BTCV
111,BTCV/labelsTr/img0026.nii.gz,8,70,BTCV
112,BTCV/labelsTr/img0026.nii.gz,9,49,BTCV
113,BTCV/labelsTr/img0026.nii.gz,10,15,BTCV
114,BTCV/labelsTr/img0026.nii.gz,11,17,BTCV
115,BTCV/labelsTr/img0026.nii.gz,12,9,BTCV
116,BTCV/labelsTr/img0026.nii.gz,13,10,BTCV
117,BTCV/labelsTr/img0023.nii.gz,1,18,BTCV
118,BTCV/labelsTr/img0023.nii.gz,2,20,BTCV
119,BTCV/labelsTr/img0023.nii.gz,3,19,BTCV
120,BTCV/labelsTr/img0023.nii.gz,5,17,BTCV
121,BTCV/labelsTr/img0023.nii.gz,6,37,BTCV
122,BTCV/labelsTr/img0023.nii.gz,7,19,BTCV
123,BTCV/labelsTr/img0023.nii.gz,8,51,BTCV
124,BTCV/labelsTr/img0023.nii.gz,9,45,BTCV
125,BTCV/labelsTr/img0023.nii.gz,10,11,BTCV
126,BTCV/labelsTr/img0023.nii.gz,11,23,BTCV
127,BTCV/labelsTr/img0023.nii.gz,12,8,BTCV
128,BTCV/labelsTr/img0023.nii.gz,13,11,BTCV
129,BTCV/labelsTr/img0002.nii.gz,1,21,BTCV
130,BTCV/labelsTr/img0002.nii.gz,2,29,BTCV
131,BTCV/labelsTr/img0002.nii.gz,3,33,BTCV
132,BTCV/labelsTr/img0002.nii.gz,4,18,BTCV
133,BTCV/labelsTr/img0002.nii.gz,5,15,BTCV
134,BTCV/labelsTr/img0002.nii.gz,6,54,BTCV
135,BTCV/labelsTr/img0002.nii.gz,7,39,BTCV
136,BTCV/labelsTr/img0002.nii.gz,8,72,BTCV
137,BTCV/labelsTr/img0002.nii.gz,9,75,BTCV
138,BTCV/labelsTr/img0002.nii.gz,10,20,BTCV
139,BTCV/labelsTr/img0002.nii.gz,11,28,BTCV
140,BTCV/labelsTr/img0002.nii.gz,12,13,BTCV
141,BTCV/labelsTr/img0002.nii.gz,13,15,BTCV
142,BTCV/labelsTr/img0010.nii.gz,1,23,BTCV
143,BTCV/labelsTr/img0010.nii.gz,2,36,BTCV
144,BTCV/labelsTr/img0010.nii.gz,3,39,BTCV
145,BTCV/labelsTr/img0010.nii.gz,4,14,BTCV
146,BTCV/labelsTr/img0010.nii.gz,5,25,BTCV
147,BTCV/labelsTr/img0010.nii.gz,6,75,BTCV
148,BTCV/labelsTr/img0010.nii.gz,7,55,BTCV
149,BTCV/labelsTr/img0010.nii.gz,8,77,BTCV
150,BTCV/labelsTr/img0010.nii.gz,9,66,BTCV
151,BTCV/labelsTr/img0010.nii.gz,10,27,BTCV
152,BTCV/labelsTr/img0010.nii.gz,11,29,BTCV
153,BTCV/labelsTr/img0010.nii.gz,12,13,BTCV
154,BTCV/labelsTr/img0010.nii.gz,13,14,BTCV
155,BTCV/labelsTr/img0005.nii.gz,1,42,BTCV
156,BTCV/labelsTr/img0005.nii.gz,2,40,BTCV
157,BTCV/labelsTr/img0005.nii.gz,3,37,BTCV
158,BTCV/labelsTr/img0005.nii.gz,4,22,BTCV
159,BTCV/labelsTr/img0005.nii.gz,5,43,BTCV
160,BTCV/labelsTr/img0005.nii.gz,6,50,BTCV
161,BTCV/labelsTr/img0005.nii.gz,7,33,BTCV
162,BTCV/labelsTr/img0005.nii.gz,8,91,BTCV
163,BTCV/labelsTr/img0005.nii.gz,9,77,BTCV
164,BTCV/labelsTr/img0005.nii.gz,10,33,BTCV
165,BTCV/labelsTr/img0005.nii.gz,11,22,BTCV
166,BTCV/labelsTr/img0005.nii.gz,12,10,BTCV
167,BTCV/labelsTr/img0005.nii.gz,13,14,BTCV
168,BTCV/labelsTr/img0035.nii.gz,1,24,BTCV
169,BTCV/labelsTr/img0035.nii.gz,2,22,BTCV
170,BTCV/labelsTr/img0035.nii.gz,3,23,BTCV
171,BTCV/labelsTr/img0035.nii.gz,5,14,BTCV
172,BTCV/labelsTr/img0035.nii.gz,6,39,BTCV
173,BTCV/labelsTr/img0035.nii.gz,7,20,BTCV
174,BTCV/labelsTr/img0035.nii.gz,8,46,BTCV
175,BTCV/labelsTr/img0035.nii.gz,9,46,BTCV
176,BTCV/labelsTr/img0035.nii.gz,10,9,BTCV
177,BTCV/labelsTr/img0035.nii.gz,11,13,BTCV
178,BTCV/labelsTr/img0035.nii.gz,12,7,BTCV
179,BTCV/labelsTr/img0035.nii.gz,13,8,BTCV
180,BTCV/labelsTr/img0024.nii.gz,1,24,BTCV
181,BTCV/labelsTr/img0024.nii.gz,2,30,BTCV
182,BTCV/labelsTr/img0024.nii.gz,3,29,BTCV
183,BTCV/labelsTr/img0024.nii.gz,4,6,BTCV
184,BTCV/labelsTr/img0024.nii.gz,5,13,BTCV
185,BTCV/labelsTr/img0024.nii.gz,6,56,BTCV
186,BTCV/labelsTr/img0024.nii.gz,7,31,BTCV
187,BTCV/labelsTr/img0024.nii.gz,8,62,BTCV
188,BTCV/labelsTr/img0024.nii.gz,9,60,BTCV
189,BTCV/labelsTr/img0024.nii.gz,10,15,BTCV
190,BTCV/labelsTr/img0024.nii.gz,11,28,BTCV
191,BTCV/labelsTr/img0024.nii.gz,12,12,BTCV
192,BTCV/labelsTr/img0024.nii.gz,13,13,BTCV
193,BTCV/labelsTr/img0029.nii.gz,1,28,BTCV
194,BTCV/labelsTr/img0029.nii.gz,2,30,BTCV
195,BTCV/labelsTr/img0029.nii.gz,3,35,BTCV
196,BTCV/labelsTr/img0029.nii.gz,4,11,BTCV
197,BTCV/labelsTr/img0029.nii.gz,5,18,BTCV
198,BTCV/labelsTr/img0029.nii.gz,6,47,BTCV
199,BTCV/labelsTr/img0029.nii.gz,7,43,BTCV
200,BTCV/labelsTr/img0029.nii.gz,8,82,BTCV
201,BTCV/labelsTr/img0029.nii.gz,9,79,BTCV
202,BTCV/labelsTr/img0029.nii.gz,10,24,BTCV
203,BTCV/labelsTr/img0029.nii.gz,11,37,BTCV
204,BTCV/labelsTr/img0029.nii.gz,12,16,BTCV
205,BTCV/labelsTr/img0029.nii.gz,13,17,BTCV
206,BTCV/labelsTr/img0038.nii.gz,1,22,BTCV
207,BTCV/labelsTr/img0038.nii.gz,2,23,BTCV
208,BTCV/labelsTr/img0038.nii.gz,3,22,BTCV
209,BTCV/labelsTr/img0038.nii.gz,4,6,BTCV
210,BTCV/labelsTr/img0038.nii.gz,5,16,BTCV
211,BTCV/labelsTr/img0038.nii.gz,6,43,BTCV
212,BTCV/labelsTr/img0038.nii.gz,7,30,BTCV
213,BTCV/labelsTr/img0038.nii.gz,8,58,BTCV
214,BTCV/labelsTr/img0038.nii.gz,9,56,BTCV
215,BTCV/labelsTr/img0038.nii.gz,10,13,BTCV
216,BTCV/labelsTr/img0038.nii.gz,11,20,BTCV
217,BTCV/labelsTr/img0038.nii.gz,12,11,BTCV
218,BTCV/labelsTr/img0038.nii.gz,13,13,BTCV
219,BTCV/labelsTr/img0021.nii.gz,1,21,BTCV
220,BTCV/labelsTr/img0021.nii.gz,2,35,BTCV
221,BTCV/labelsTr/img0021.nii.gz,3,33,BTCV
222,BTCV/labelsTr/img0021.nii.gz,4,17,BTCV
223,BTCV/labelsTr/img0021.nii.gz,5,22,BTCV
224,BTCV/labelsTr/img0021.nii.gz,6,53,BTCV
225,BTCV/labelsTr/img0021.nii.gz,7,34,BTCV
226,BTCV/labelsTr/img0021.nii.gz,8,62,BTCV
227,BTCV/labelsTr/img0021.nii.gz,9,63,BTCV
228,BTCV/labelsTr/img0021.nii.gz,10,15,BTCV
229,BTCV/labelsTr/img0021.nii.gz,11,30,BTCV
230,BTCV/labelsTr/img0021.nii.gz,12,5,BTCV
231,BTCV/labelsTr/img0021.nii.gz,13,12,BTCV
232,BTCV/labelsTr/img0004.nii.gz,1,30,BTCV
233,BTCV/labelsTr/img0004.nii.gz,2,29,BTCV
234,BTCV/labelsTr/img0004.nii.gz,3,34,BTCV
235,BTCV/labelsTr/img0004.nii.gz,4,11,BTCV
236,BTCV/labelsTr/img0004.nii.gz,5,12,BTCV
237,BTCV/labelsTr/img0004.nii.gz,6,56,BTCV
238,BTCV/labelsTr/img0004.nii.gz,7,41,BTCV
239,BTCV/labelsTr/img0004.nii.gz,8,63,BTCV
240,BTCV/labelsTr/img0004.nii.gz,9,69,BTCV
241,BTCV/labelsTr/img0004.nii.gz,10,16,BTCV
