,gt_path,obj_id,n_pos,task
0,labelsTs/img0007.nii.gz,1,41,BTCV
1,labelsTs/img0007.nii.gz,2,37,BTCV
2,labelsTs/img0007.nii.gz,3,42,BTCV
3,labelsTs/img0007.nii.gz,4,24,BTCV
4,labelsTs/img0007.nii.gz,5,30,BTCV
5,labelsTs/img0007.nii.gz,6,65,BTCV
6,labelsTs/img0007.nii.gz,7,46,BTCV
7,labelsTs/img0007.nii.gz,8,88,BTCV
8,labelsTs/img0007.nii.gz,9,72,BTCV
9,labelsTs/img0007.nii.gz,10,17,BTCV
10,labelsTs/img0007.nii.gz,11,15,BTCV
11,labelsTs/img0007.nii.gz,12,15,BTCV
12,labelsTs/img0007.nii.gz,13,14,BTCV
13,labelsTs/img0040.nii.gz,1,28,BTCV
14,labelsTs/img0040.nii.gz,2,38,BTCV
15,labelsTs/img0040.nii.gz,3,36,BTCV
16,labelsTs/img0040.nii.gz,4,15,BTCV
17,labelsTs/img0040.nii.gz,5,62,BTCV
18,labelsTs/img0040.nii.gz,6,62,BTCV
19,labelsTs/img0040.nii.gz,7,51,BTCV
20,labelsTs/img0040.nii.gz,8,93,BTCV
21,labelsTs/img0040.nii.gz,9,56,BTCV
22,labelsTs/img0040.nii.gz,10,17,BTCV
23,labelsTs/img0040.nii.gz,11,27,BTCV
24,labelsTs/img0040.nii.gz,12,8,BTCV
25,labelsTs/img0040.nii.gz,13,16,BTCV
26,labelsTs/img0009.nii.gz,1,106,BTCV
27,labelsTs/img0009.nii.gz,2,51,BTCV
28,labelsTs/img0009.nii.gz,3,47,BTCV
29,labelsTs/img0009.nii.gz,4,11,BTCV
30,labelsTs/img0009.nii.gz,5,44,BTCV
31,labelsTs/img0009.nii.gz,6,81,BTCV
32,labelsTs/img0009.nii.gz,7,67,BTCV
33,labelsTs/img0009.nii.gz,8,110,BTCV
34,labelsTs/img0009.nii.gz,9,96,BTCV
35,labelsTs/img0009.nii.gz,10,48,BTCV
36,labelsTs/img0009.nii.gz,11,31,BTCV
37,labelsTs/img0009.nii.gz,12,15,BTCV
38,labelsTs/img0009.nii.gz,13,8,BTCV
39,labelsTs/img0036.nii.gz,1,37,BTCV
40,labelsTs/img0036.nii.gz,2,41,BTCV
41,labelsTs/img0036.nii.gz,3,40,BTCV
42,labelsTs/img0036.nii.gz,4,9,BTCV
43,labelsTs/img0036.nii.gz,5,33,BTCV
44,labelsTs/img0036.nii.gz,6,68,BTCV
45,labelsTs/img0036.nii.gz,7,37,BTCV
46,labelsTs/img0036.nii.gz,8,95,BTCV
47,labelsTs/img0036.nii.gz,9,83,BTCV
48,labelsTs/img0036.nii.gz,10,18,BTCV
49,labelsTs/img0036.nii.gz,11,30,BTCV
50,labelsTs/img0036.nii.gz,12,17,BTCV
51,labelsTs/img0036.nii.gz,13,19,BTCV
52,labelsTs/img0032.nii.gz,1,32,BTCV
53,labelsTs/img0032.nii.gz,2,35,BTCV
54,labelsTs/img0032.nii.gz,3,34,BTCV
55,labelsTs/img0032.nii.gz,4,14,BTCV
56,labelsTs/img0032.nii.gz,5,20,BTCV
57,labelsTs/img0032.nii.gz,6,59,BTCV
58,labelsTs/img0032.nii.gz,7,40,BTCV
59,labelsTs/img0032.nii.gz,8,73,BTCV
60,labelsTs/img0032.nii.gz,9,73,BTCV
61,labelsTs/img0032.nii.gz,10,16,BTCV
62,labelsTs/img0032.nii.gz,11,27,BTCV
63,labelsTs/img0032.nii.gz,12,12,BTCV
64,labelsTs/img0032.nii.gz,13,11,BTCV
65,labelsTs/img0003.nii.gz,1,35,BTCV
66,labelsTs/img0003.nii.gz,2,40,BTCV
67,labelsTs/img0003.nii.gz,3,42,BTCV
68,labelsTs/img0003.nii.gz,4,15,BTCV
69,labelsTs/img0003.nii.gz,5,36,BTCV
70,labelsTs/img0003.nii.gz,6,65,BTCV
71,labelsTs/img0003.nii.gz,7,48,BTCV
72,labelsTs/img0003.nii.gz,8,101,BTCV
73,labelsTs/img0003.nii.gz,9,93,BTCV
74,labelsTs/img0003.nii.gz,10,28,BTCV
75,labelsTs/img0003.nii.gz,11,30,BTCV
76,labelsTs/img0003.nii.gz,12,15,BTCV
77,labelsTs/img0003.nii.gz,13,18,BTCV
