,task,gt_path,obj_id,n_pos,fold
0,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,1,50,0
1,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,2,42,0
2,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_423.nii.gz,3,46,0
3,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,1,82,0
4,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,2,63,0
5,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_325.nii.gz,3,66,0
6,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,1,41,0
7,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,2,21,0
8,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_232.nii.gz,3,17,0
9,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,1,80,0
10,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,2,64,0
11,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_285.nii.gz,3,64,0
12,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,1,68,0
13,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,2,44,0
14,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_400.nii.gz,3,47,0
15,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,1,72,0
16,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,2,52,0
17,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_159.nii.gz,3,51,0
18,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,1,72,0
19,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,2,50,0
20,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_484.nii.gz,3,52,0
21,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,1,95,0
22,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,2,54,0
23,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_048.nii.gz,3,53,0
24,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,1,58,0
25,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,2,22,0
26,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_304.nii.gz,3,28,0
27,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,1,77,0
28,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,2,39,0
29,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_216.nii.gz,3,37,0
30,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,1,82,0
31,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,2,45,0
32,Task01_BrainTumour,MSD/Task01_BrainTumour/labelsTr/BRATS_434.nii.gz,3,54,0
