,task,gt_path,obj_id,n_pos,fold
0,Task02_Heart,MSD/Task02_Heart/labelsTr/la_020.nii.gz,1,70,0
1,Task02_Heart,MSD/Task02_Heart/labelsTr/la_004.nii.gz,1,70,0
2,Task02_Heart,MSD/Task02_Heart/labelsTr/la_022.nii.gz,1,58,0
3,Task02_Heart,MSD/Task02_Heart/labelsTr/la_016.nii.gz,1,62,0
4,Task02_Heart,MSD/Task02_Heart/labelsTr/la_017.nii.gz,1,64,1
5,Task02_Heart,MSD/Task02_Heart/labelsTr/la_024.nii.gz,1,70,1
6,Task02_Heart,MSD/Task02_Heart/labelsTr/la_014.nii.gz,1,66,1
7,Task02_Heart,MSD/Task02_Heart/labelsTr/la_029.nii.gz,1,60,2
8,Task02_Heart,MSD/Task02_Heart/labelsTr/la_026.nii.gz,1,73,2
9,Task02_Heart,MSD/Task02_Heart/labelsTr/la_019.nii.gz,1,74,2
10,Task02_Heart,MSD/Task02_Heart/labelsTr/la_005.nii.gz,1,74,3
11,Task02_Heart,MSD/Task02_Heart/labelsTr/la_009.nii.gz,1,79,3
12,Task02_Heart,MSD/Task02_Heart/labelsTr/la_018.nii.gz,1,68,3
13,Task02_Heart,MSD/Task02_Heart/labelsTr/la_003.nii.gz,1,66,4
14,Task02_Heart,MSD/Task02_Heart/labelsTr/la_010.nii.gz,1,59,4
15,Task02_Heart,MSD/Task02_Heart/labelsTr/la_021.nii.gz,1,71,4
