,task,gt_path,obj_id,n_pos,fold
0,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_2.nii.gz,1,139,0
1,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_2.nii.gz,2,29,0
2,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_46.nii.gz,1,41,0
3,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_46.nii.gz,2,33,0
4,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_104.nii.gz,1,194,0
5,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_104.nii.gz,2,122,0
6,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_79.nii.gz,1,59,0
7,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_79.nii.gz,2,18,0
8,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_98.nii.gz,1,241,0
9,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_98.nii.gz,2,141,0
10,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_128.nii.gz,1,292,0
11,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_128.nii.gz,2,144,0
12,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_42.nii.gz,1,115,0
13,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_42.nii.gz,2,7,0
14,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_123.nii.gz,1,115,0
15,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_123.nii.gz,2,82,0
16,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_16.nii.gz,1,187,0
17,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_16.nii.gz,2,120,0
18,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_17.nii.gz,1,198,0
19,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_17.nii.gz,2,53,0
20,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_91.nii.gz,1,189,0
21,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_26.nii.gz,1,192,0
22,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_26.nii.gz,2,85,0
23,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_24.nii.gz,1,118,0
24,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_24.nii.gz,2,7,0
25,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_66.nii.gz,1,36,0
26,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_66.nii.gz,2,7,0
27,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_113.nii.gz,1,170,0
28,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_113.nii.gz,2,136,0
29,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_29.nii.gz,1,114,0
30,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_29.nii.gz,2,22,0
31,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_102.nii.gz,1,266,0
32,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_102.nii.gz,2,45,0
33,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_68.nii.gz,1,64,0
34,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_68.nii.gz,2,9,0
35,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_4.nii.gz,1,250,0
36,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_4.nii.gz,2,244,0
37,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_109.nii.gz,1,194,0
38,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_109.nii.gz,2,131,0
39,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_99.nii.gz,1,226,0
40,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_99.nii.gz,2,91,0
41,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_7.nii.gz,1,177,1
42,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_7.nii.gz,2,83,1
43,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_52.nii.gz,1,56,1
44,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_52.nii.gz,2,21,1
45,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_35.nii.gz,1,116,1
46,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_35.nii.gz,2,29,1
47,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_45.nii.gz,1,59,1
48,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_45.nii.gz,2,11,1
49,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_31.nii.gz,1,67,1
50,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_31.nii.gz,2,37,1
51,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_118.nii.gz,1,122,1
52,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_118.nii.gz,2,87,1
53,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_55.nii.gz,1,92,1
54,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_55.nii.gz,2,6,1
55,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_18.nii.gz,1,189,1
56,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_18.nii.gz,2,44,1
57,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_47.nii.gz,1,85,1
58,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_49.nii.gz,1,73,1
59,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_49.nii.gz,2,23,1
60,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_124.nii.gz,1,112,1
61,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_124.nii.gz,2,56,1
62,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_28.nii.gz,1,98,1
63,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_28.nii.gz,2,74,1
64,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_75.nii.gz,1,37,1
65,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_75.nii.gz,2,12,1
66,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_73.nii.gz,1,50,1
67,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_73.nii.gz,2,4,1
68,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_8.nii.gz,1,179,1
69,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_8.nii.gz,2,81,1
70,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_106.nii.gz,1,168,1
71,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_129.nii.gz,1,277,1
72,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_129.nii.gz,2,226,1
73,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_43.nii.gz,1,113,1
74,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_43.nii.gz,2,15,1
75,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_130.nii.gz,1,241,1
76,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_130.nii.gz,2,199,1
77,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_85.nii.gz,1,276,1
78,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_85.nii.gz,2,34,1
79,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_114.nii.gz,1,215,1
80,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_81.nii.gz,1,111,2
81,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_81.nii.gz,2,14,2
82,Task03_Liver,MSD/Task03_Liver/labelsTr/liver_14.nii.gz,1,139,2
