,task,gt_path,obj_id,n_pos,fold
0,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_024.nii.gz,1.0,12,0
1,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_024.nii.gz,2.0,19,0
2,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_171.nii.gz,1.0,13,0
3,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_171.nii.gz,2.0,13,0
4,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_089.nii.gz,1.0,14,0
5,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_089.nii.gz,2.0,21,0
6,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_325.nii.gz,1.0,15,0
7,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_325.nii.gz,2.0,21,0
8,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_056.nii.gz,1.0,17,0
9,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_056.nii.gz,2.0,23,0
10,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_381.nii.gz,1.0,15,0
11,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_381.nii.gz,2.0,23,0
12,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_373.nii.gz,1.0,15,0
13,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_373.nii.gz,2.0,21,0
14,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_162.nii.gz,1.0,13,0
15,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_162.nii.gz,2.0,19,0
16,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_227.nii.gz,1.0,15,0
17,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_227.nii.gz,2.0,19,0
18,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_386.nii.gz,1.0,18,0
19,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_386.nii.gz,2.0,20,0
20,Task04_Hippocampus,MSD/Task04_Hippocampus/labelsTr/hippocampus_356.nii.gz,1.0,16,0
