,task,gt_path,obj_id,n_pos,fold
0,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_42.nii.gz,1,10,0
1,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_42.nii.gz,2,18,0
2,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_43.nii.gz,1,9,0
3,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_43.nii.gz,2,13,0
4,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_04.nii.gz,1,9,0
5,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_04.nii.gz,2,14,0
6,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_17.nii.gz,1,9,0
7,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_17.nii.gz,2,13,0
8,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_13.nii.gz,1,11,0
9,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_13.nii.gz,2,12,0
10,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_24.nii.gz,1,15,1
11,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_24.nii.gz,2,18,1
12,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_31.nii.gz,1,12,1
13,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_31.nii.gz,2,16,1
14,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_25.nii.gz,1,14,1
15,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_25.nii.gz,2,19,1
16,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_34.nii.gz,1,10,1
17,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_34.nii.gz,2,13,1
18,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_38.nii.gz,1,13,1
19,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_38.nii.gz,2,20,1
20,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_46.nii.gz,1,8,2
21,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_46.nii.gz,2,11,2
22,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_35.nii.gz,1,9,2
23,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_35.nii.gz,2,18,2
24,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_29.nii.gz,1,8,2
25,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_29.nii.gz,2,14,2
26,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_00.nii.gz,1,11,2
27,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_00.nii.gz,2,14,2
28,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_20.nii.gz,1,10,2
29,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_20.nii.gz,2,17,2
30,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_21.nii.gz,1,11,3
31,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_21.nii.gz,2,14,3
32,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_16.nii.gz,1,10,3
33,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_16.nii.gz,2,20,3
34,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_06.nii.gz,1,10,3
35,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_06.nii.gz,2,17,3
36,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_02.nii.gz,1,11,3
37,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_02.nii.gz,2,18,3
38,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_47.nii.gz,1,11,3
39,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_47.nii.gz,2,18,3
40,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_41.nii.gz,1,12,4
41,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_41.nii.gz,2,16,4
42,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_44.nii.gz,1,8,4
43,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_44.nii.gz,2,11,4
44,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_10.nii.gz,1,9,4
45,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_10.nii.gz,2,11,4
46,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_39.nii.gz,1,8,4
47,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_39.nii.gz,2,15,4
48,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_28.nii.gz,1,8,4
49,Task05_Prostate,MSD/Task05_Prostate/labelsTr/prostate_28.nii.gz,2,10,4
