,task,gt_path,obj_id,n_pos,fold
0,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_111.nii.gz,1,19,0
1,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_111.nii.gz,2,2,0
2,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_126.nii.gz,1,41,0
3,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_126.nii.gz,2,13,0
4,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_045.nii.gz,1,14,0
5,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_045.nii.gz,2,8,0
6,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_366.nii.gz,1,41,0
7,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_366.nii.gz,2,7,0
8,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_380.nii.gz,1,23,0
9,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_380.nii.gz,2,11,0
10,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_294.nii.gz,1,37,0
11,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_294.nii.gz,2,17,0
12,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_309.nii.gz,1,31,0
13,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_309.nii.gz,2,9,0
14,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_159.nii.gz,1,36,0
15,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_159.nii.gz,2,11,0
16,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_289.nii.gz,1,33,0
17,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_289.nii.gz,2,10,0
18,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_110.nii.gz,1,29,0
19,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_110.nii.gz,2,6,0
20,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_346.nii.gz,1,29,0
21,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_346.nii.gz,2,7,0
22,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_103.nii.gz,1,30,0
23,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_103.nii.gz,2,8,0
24,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_117.nii.gz,1,33,0
25,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_117.nii.gz,2,8,0
26,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_145.nii.gz,1,32,0
27,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_145.nii.gz,2,6,0
28,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_401.nii.gz,1,15,0
29,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_401.nii.gz,2,7,0
30,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_179.nii.gz,1,28,0
31,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_179.nii.gz,2,6,0
32,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_296.nii.gz,1,20,0
33,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_296.nii.gz,2,4,0
34,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_278.nii.gz,1,33,0
35,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_278.nii.gz,2,10,0
36,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_101.nii.gz,1,18,0
37,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_101.nii.gz,2,4,0
38,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_032.nii.gz,1,25,0
39,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_032.nii.gz,2,5,0
40,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_092.nii.gz,1,14,0
41,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_092.nii.gz,2,4,0
42,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_285.nii.gz,1,27,0
43,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_285.nii.gz,2,5,0
44,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_109.nii.gz,1,27,0
45,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_109.nii.gz,2,4,0
46,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_140.nii.gz,1,12,0
47,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_140.nii.gz,2,5,0
48,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_207.nii.gz,1,34,0
49,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_207.nii.gz,2,6,0
50,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_070.nii.gz,1,39,0
51,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_070.nii.gz,2,20,0
52,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_379.nii.gz,1,62,0
53,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_379.nii.gz,2,19,0
54,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_025.nii.gz,1,31,0
55,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_025.nii.gz,2,13,0
56,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_421.nii.gz,1,53,0
57,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_421.nii.gz,2,11,0
58,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_355.nii.gz,1,12,0
59,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_355.nii.gz,2,6,0
60,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_347.nii.gz,1,36,0
61,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_347.nii.gz,2,3,0
62,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_213.nii.gz,1,34,0
63,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_213.nii.gz,2,13,0
64,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_402.nii.gz,1,32,0
65,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_402.nii.gz,2,5,0
66,Task07_Pancreas,MSD/Task07_Pancreas/labelsTr/pancreas_186.nii.gz,1,21,0
