,task,gt_path,obj_id,n_pos,fold
0,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,1,24,0
1,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_139.nii.gz,2,5,0
2,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,1,27,0
3,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_268.nii.gz,2,21,0
4,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,1,19,0
5,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_050.nii.gz,2,18,0
6,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,1,69,0
7,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_443.nii.gz,2,37,0
8,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,1,78,0
9,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_209.nii.gz,2,57,0
10,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,1,28,0
11,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_300.nii.gz,2,7,0
12,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,1,17,0
13,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_085.nii.gz,2,6,0
14,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,1,23,0
15,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_242.nii.gz,2,2,0
16,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,1,50,0
17,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_164.nii.gz,2,11,0
18,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,1,83,0
19,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_279.nii.gz,2,10,0
20,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_070.nii.gz,1,38,0
21,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_070.nii.gz,2,42,0
22,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_320.nii.gz,1,27,0
23,Task08_HepaticVessel,MSD/Task08_HepaticVessel/labelsTr/hepaticvessel_320.nii.gz,2,4,0
