,task,gt_path,obj_id,n_pos,fold
0,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_49.nii.gz,1,25,0
1,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_26.nii.gz,1,15,0
2,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_14.nii.gz,1,21,0
3,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_53.nii.gz,1,18,0
4,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_29.nii.gz,1,20,0
5,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_59.nii.gz,1,23,0
6,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_62.nii.gz,1,21,0
7,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_6.nii.gz,1,58,1
8,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_2.nii.gz,1,20,1
9,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_40.nii.gz,1,16,1
10,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_17.nii.gz,1,28,1
11,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_18.nii.gz,1,61,1
12,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_63.nii.gz,1,25,1
13,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_19.nii.gz,1,18,1
14,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_33.nii.gz,1,23,2
15,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_28.nii.gz,1,14,2
16,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_44.nii.gz,1,10,2
17,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_3.nii.gz,1,14,2
18,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_9.nii.gz,1,25,2
19,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_46.nii.gz,1,17,2
20,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_24.nii.gz,1,11,3
21,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_22.nii.gz,1,69,3
22,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_60.nii.gz,1,20,3
23,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_21.nii.gz,1,35,3
24,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_32.nii.gz,1,22,3
25,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_10.nii.gz,1,17,3
26,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_52.nii.gz,1,25,4
27,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_27.nii.gz,1,19,4
28,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_31.nii.gz,1,22,4
29,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_61.nii.gz,1,14,4
30,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_12.nii.gz,1,80,4
31,Task09_Spleen,MSD/Task09_Spleen/labelsTr/spleen_38.nii.gz,1,12,4
