,task,gt_path,obj_id,n_pos
0,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_001_Mass.nii.gz,1,31
1,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_010_Edema.nii.gz,2,59
2,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_003_Mass.nii.gz,1,20
3,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_024_Edema.nii.gz,2,32
4,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_013_Mass.nii.gz,1,82
5,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_042_Edema.nii.gz,2,19
6,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_049_Mass.nii.gz,1,60
7,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_022_Edema.nii.gz,2,57
8,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_028_Mass.nii.gz,1,36
9,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_001_Edema.nii.gz,2,43
10,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_011_Edema.nii.gz,2,62
11,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_038_Mass.nii.gz,1,43
12,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_008_Mass.nii.gz,1,19
13,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_037_Edema.nii.gz,2,48
14,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_016_Edema.nii.gz,2,67
15,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_039_Mass.nii.gz,1,54
16,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_012_Edema.nii.gz,2,44
17,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_039_Edema.nii.gz,2,64
18,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_032_Edema.nii.gz,2,29
19,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_047_Mass.nii.gz,1,26
20,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_033_Edema.nii.gz,2,58
21,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_046_Edema.nii.gz,2,79
22,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_021_Edema.nii.gz,2,61
23,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_022_Mass.nii.gz,1,38
24,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_012_Mass.nii.gz,1,21
25,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_015_Mass.nii.gz,1,25
26,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_038_Edema.nii.gz,2,45
27,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_041_Edema.nii.gz,2,22
28,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_017_Mass.nii.gz,1,39
29,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_031_Mass.nii.gz,1,35
30,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_003_Edema.nii.gz,2,24
31,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_029_Edema.nii.gz,2,64
32,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_021_Mass.nii.gz,1,51
33,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_051_Mass.nii.gz,1,29
34,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_006_Mass.nii.gz,1,47
35,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_019_Mass.nii.gz,1,15
36,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_027_Edema.nii.gz,2,74
37,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_043_Mass.nii.gz,1,38
38,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_035_Mass.nii.gz,1,31
39,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_029_Mass.nii.gz,1,34
40,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_046_Mass.nii.gz,1,52
41,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_042_Mass.nii.gz,1,17
42,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_010_Mass.nii.gz,1,27
43,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_032_Mass.nii.gz,1,22
44,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_011_Mass.nii.gz,1,42
45,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_031_Edema.nii.gz,2,46
46,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_027_Mass.nii.gz,1,56
47,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_016_Mass.nii.gz,1,45
48,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_023_Edema.nii.gz,2,79
49,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_040_Mass.nii.gz,1,34
50,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_036_Mass.nii.gz,1,36
51,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_036_Edema.nii.gz,2,51
52,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_030_Mass.nii.gz,1,41
53,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_033_Mass.nii.gz,1,33
54,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_037_Mass.nii.gz,1,43
55,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_024_Mass.nii.gz,1,23
56,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_004_Mass.nii.gz,1,53
57,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_023_Mass.nii.gz,1,44
58,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_041_Mass.nii.gz,1,21
59,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_015_Edema.nii.gz,2,25
60,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_007_Mass.nii.gz,1,38
61,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_030_Edema.nii.gz,2,85
62,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_048_Mass.nii.gz,1,31
63,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_018_Mass.nii.gz,1,23
64,Sarcoma,/data/datasets/nii/Sarcoma/labelsTr/STS_048_Edema.nii.gz,2,40
