group,task,n_rows,fold,n_folds,seed
BTCV/labelsTr/img0001.nii.gz,BTCV,13,4,5,0
BTCV/labelsTr/img0002.nii.gz,BTCV,13,4,5,0
BTCV/labelsTr/img0004.nii.gz,BTCV,13,2,5,0
BTCV/labelsTr/img0005.nii.gz,BTCV,13,1,5,0
BTCV/labelsTr/img0006.nii.gz,BTCV,13,3,5,0
BTCV/labelsTr/img0008.nii.gz,BTCV,13,0,5,0
BTCV/labelsTr/img0010.nii.gz,BTCV,13,4,5,0
BTCV/labelsTr/img0021.nii.gz,BTCV,13,4,5,0
BTCV/labelsTr/img0022.nii.gz,BTCV,13,3,5,0
BTCV/labelsTr/img0023.nii.gz,BTCV,12,3,5,0
BTCV/labelsTr/img0024.nii.gz,BTCV,13,0,5,0
BTCV/labelsTr/img0025.nii.gz,BTCV,13,1,5,0
BTCV/labelsTr/img0026.nii.gz,BTCV,13,1,5,0
BTCV/labelsTr/img0027.nii.gz,BTCV,13,3,5,0
BTCV/labelsTr/img0028.nii.gz,BTCV,13,2,5,0
BTCV/labelsTr/img0029.nii.gz,BTCV,13,0,5,0
BTCV/labelsTr/img0030.nii.gz,BTCV,13,0,5,0
BTCV/labelsTr/img0031.nii.gz,BTCV,13,1,5,0
BTCV/labelsTr/img0033.nii.gz,BTCV,13,2,5,0
BTCV/labelsTr/img0034.nii.gz,BTCV,13,2,5,0
BTCV/labelsTr/img0035.nii.gz,BTCV,12,2,5,0
BTCV/labelsTr/img0037.nii.gz,BTCV,13,4,5,0
BTCV/labelsTr/img0038.nii.gz,BTCV,13,3,5,0
BTCV/labelsTr/img0039.nii.gz,BTCV,13,0,5,0
Sarcoma/labelsTr/STS_001,Sarcoma,2,4,5,0
Sarcoma/labelsTr/STS_003,Sarcoma,2,1,5,0
Sarcoma/labelsTr/STS_004,Sarcoma,1,4,5,0
Sarcoma/labelsTr/STS_006,Sarcoma,1,0,5,0
Sarcoma/labelsTr/STS_007,Sarcoma,1,3,5,0
Sarcoma/labelsTr/STS_008,Sarcoma,1,2,5,0
Sarcoma/labelsTr/STS_010,Sarcoma,2,0,5,0
